,District,Primary BoysTextBook,Primary GirlsTextBook,Upper Primary BoysTextBook,Upper Primary GirlsTextBook,Primary BoysUniform,Primary GirlsUniform,Upper Primary BoysUniform,Upper Primary GirlsUniform
0,ALIRAJPUR ,32319,29759,7758,8245,29933,27554,8027,7698
1,ANUPPUR,30752,31237,17611,19973,30679,30956,17506,19748
2,ASHOKNAGAR ,49059,50062,22506,24771,48269,49186,22341,24574
3,BALAGHAT,62434,64740,42671,47058,61913,63492,42256,46679
4,BARWANI,82735,83366,27577,32347,79918,81224,27075,31797
5,BETUL ,68942,68268,41208,46209,67292,67203,41178,45332
6,BHIND,65670,63100,35897,39670,68524,59045,34058,37386
7,BHOPAL,50794,57545,24233,29469,39244,42381,20750,25524
8,BURHANPUR ,34443,34213,12533,14727,35425,31526,12219,14281
9,CHHATARPUR,104507,102306,51183,54665,100359,99317,50156,52903
10,CHHINDWARA ,82799,82439,52958,58313,81449,80927,52720,58146
11,DAMOH  ,56249,56411,30242,33504,59336,55373,29535,33031
12,DATIA,37140,35604,22429,24632,36137,34540,22049,23435
13,DEWAS ,47145,53397,24539,29490,45483,51634,23494,28921
14,DHAR,99135,102454,42433,47580,96186,100235,41372,46966
15,DINDORI,35849,36574,17062,18603,34439,35132,16424,18044
16,GUNA,68409,71635,28557,31865,64910,69771,27888,31543
17,GWALIOR,50307,52569,23803,29486,47375,49596,22574,29588
18,HARDA ,22149,22233,12075,13169,21433,24512,12106,13203
19,HOSHANGABAD,34420,36238,19819,23690,33415,35421,17951,22343
20,INDORE,38663,46196,20785,27247,38450,45822,20682,26513
21,JABALPUR,61779,63258,37334,39318,56563,58563,33186,36947
22,JHABUA,71284,65704,19239,16938,69508,62216,18295,16516
23,KATNI,60595,60106,32016,36558,59967,59531,31433,36205
24,KHANDWA,66392,66198,30155,32272,64093,63354,29816,31906
25,KHARGONE,88816,95251,38189,45884,86471,94172,37462,44149
26,MANDLA,52678,52289,28910,32099,57867,53264,28794,31935
27,MANDSAUR,37834,45639,24059,27283,37431,43782,24032,27244
28,MORENA,75516,70194,43247,47646,72855,66347,40985,46229
29,NARSIMHAPUR,35736,37149,23285,26142,35513,37026,23126,25990
30,NEEMUCH,22951,26538,14593,16602,22472,26353,14542,16525
31,PANNA,58478,57284,26380,31296,55650,54892,25286,30981
32,RAISEN,51991,54650,26646,30963,50614,52889,26425,31063
33,RAJGARH,64122,74491,30818,38302,62027,71515,30190,37604
34,RATLAM,52499,54272,24118,25208,51577,53433,23839,24966
35,REWA,90405,94902,40825,52552,84395,89364,39023,49841
36,SAGAR ,95608,96833,60454,67137,92962,94691,59751,66332
37,SATNA,94052,97245,49204,59829,90696,93653,47407,57588
38,SEHORE,39894,43948,22725,29802,38435,42572,22655,29742
39,SEONI,56403,56942,38844,43880,55991,57001,38684,43612
40,SHAHDOL,50681,50337,29615,33064,49347,49318,28581,32175
41,SHAJAPUR,46552,59891,27195,34275,45532,58782,26639,33500
42,SHEOPUR,42630,41632,19612,21975,38989,38375,18218,20479
43,SHIVPURI,91085,87200,45368,48476,86875,84340,43801,46536
44,SIDHI,63456,63464,30024,38535,60909,61634,38390,38210
45,SINGRAULI,65164,66141,27136,33420,63341,64392,26153,32509
46,TIKAMGARH  ,97564,92025,47673,52053,97552,92017,47673,52053
47,UJJAIN,51911,61195,29006,32303,49967,59284,28306,31747
48,UMARIA,32663,32167,18218,20242,32697,32830,18341,20256
49,VIDISHA,73725,74613,35877,40244,71839,70831,33814,37874
